candidate_id,anchor_id,anchor,priority_rank,surface_form,normalized_form,normalized_concept,concept_id,concept_definition,lexical_form_id,lexical_family,family_id,layer,primary_voice,expression_mode,candidate_provenance,ngram_measurement_id,ngram_measurement_form,ngram_mapping_type,ngram_query_id,ngram_mapping_reason,source_report,source_page,provenance_status
FT-SEED-R1B-P-1842-01,FT-A1842,1842,1,temperature,temperature,local / instrumental temperature,FT-C-LOCAL_INSTRUMENTAL_TEMPERATURE,A local or instrument-specific temperature reading.,FT-LF-TEMPERATURE,temperature_threshold,FT-F01,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-01; original visible ID not available",FT-NGM-B314AE60CB741E,temperature,EXACT,FT-Q-V01-001,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-02,FT-A1842,1842,2,mean temperature,mean temperature,mean temperature,FT-C-MEAN_TEMPERATURE,A temporally or spatially averaged temperature value.,FT-LF-MEAN_TEMPERATURE,temperature_threshold,FT-F01,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-02; original visible ID not available",FT-NGM-6BB810586FF4ED,mean temperature,EXACT,FT-Q-V01-002,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-03,FT-A1842,1842,3,temperature of the air in shade,temperature of the air in shade,local / instrumental temperature,FT-C-LOCAL_INSTRUMENTAL_TEMPERATURE,A local or instrument-specific temperature reading.,FT-LF-Q-4D7B02AFB69C,temperature_threshold,FT-F01,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-03; original visible ID not available",FT-NGM-4D7B02AFB69C96,temperature of the air in shade,EXACT,FT-Q-V01-003,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-04,FT-A1842,1842,4,maximum temperature,maximum temperature,local / instrumental temperature,FT-C-LOCAL_INSTRUMENTAL_TEMPERATURE,A local or instrument-specific temperature reading.,FT-LF-Q-9B181A6008A6,temperature_threshold,FT-F01,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-04; original visible ID not available",FT-NGM-9B181A6008A68D,maximum temperature,EXACT,FT-Q-V01-004,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-05,FT-A1842,1842,5,minimum temperature,minimum temperature,local / instrumental temperature,FT-C-LOCAL_INSTRUMENTAL_TEMPERATURE,A local or instrument-specific temperature reading.,FT-LF-Q-BBD1CED3B4CE,temperature_threshold,FT-F01,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-05; original visible ID not available",FT-NGM-BBD1CED3B4CE46,minimum temperature,EXACT,FT-Q-V01-005,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-06,FT-A1842,1842,6,mean temperature of sea at surface,mean temperature of sea at surface,mean temperature,FT-C-MEAN_TEMPERATURE,A temporally or spatially averaged temperature value.,FT-LF-Q-DB26232B0DDF,temperature_threshold,FT-F01,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-06; original visible ID not available",FT-NGM-DB26232B0DDFE7,mean temperature of sea at surface,EXACT,FT-Q-V01-006,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-07,FT-A1842,1842,7,dew point,dew point,local / instrumental temperature,FT-C-LOCAL_INSTRUMENTAL_TEMPERATURE,A local or instrument-specific temperature reading.,FT-LF-Q-E8702919ACAE,temperature_threshold,FT-F01,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-07; original visible ID not available",FT-NGM-E8702919ACAEE1,dew point,EXACT,FT-Q-V01-007,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-08,FT-A1842,1842,8,standard thermometer,standard thermometer,local / instrumental temperature,FT-C-LOCAL_INSTRUMENTAL_TEMPERATURE,A local or instrument-specific temperature reading.,FT-LF-Q-A3B7BAD260FF,temperature_threshold,FT-F01,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-08; original visible ID not available",FT-NGM-A3B7BAD260FF5B,standard thermometer,EXACT,FT-Q-V01-008,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-09,FT-A1842,1842,9,attached thermometer,attached thermometer,local / instrumental temperature,FT-C-LOCAL_INSTRUMENTAL_TEMPERATURE,A local or instrument-specific temperature reading.,FT-LF-Q-F000E5F45754,temperature_threshold,FT-F01,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-09; original visible ID not available",FT-NGM-F000E5F4575434,attached thermometer,EXACT,FT-Q-V01-009,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-10,FT-A1842,1842,10,dry bulb thermometer,dry bulb thermometer,local / instrumental temperature,FT-C-LOCAL_INSTRUMENTAL_TEMPERATURE,A local or instrument-specific temperature reading.,FT-LF-Q-37D350996846,temperature_threshold,FT-F01,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-10; original visible ID not available",FT-NGM-37D35099684656,dry bulb thermometer,EXACT,FT-Q-V01-010,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
