priority,term_or_family,family,anchors,voices,candidate_count,candidate_ids,query_terms,observed_pattern_class,observed_quantitative_pattern,ambiguity_or_problem,semantic_question,recommended_passage_sample,sample_note,hypothesis_status,data_sources
1,temperature,temperature_threshold,1842,V1,1,FT-SEED-R1B-P-1842-01,temperature,OBSERVED_CORPUS_PATTERN,"temperature: first nonzero 1842, peak 1962 at 182.8 per million, 2022 90.03 per million","The generic series spans the full interval, but the Priority ledger distinguishes local measurement, means, global aggregates and thresholds.",Which passages mark a shift from local/instrumental measurement to aggregate or governed temperature?,14,Planning count; overlapping passages may answer multiple shortlist questions.,SEMANTIC_HYPOTHESIS_NOT_YET_TESTED,candidate_analysis_180.csv; keyword_frequency_summary.csv; candidate_comparability.csv; candidate_relationship.csv
2,heat,heat,1842; 1938; 1988,V1; V3; V5,3,FT-SEED-R1B-P-1842-19; FT-SEED-R1B-P-1938-21; FT-SEED-R1B-P-1988-08,heat,OBSERVED_CORPUS_PATTERN,"heat: first nonzero 1842, peak 1962 at 119.6 per million, 2022 85.64 per million","The generic string is highly polysemous, while candidate forms distinguish physical, embodied, weather-event and hazard senses.",Which voice and context convert physical or embodied heat into an explicit hazard appraisal?,14,Planning count; overlapping passages may answer multiple shortlist questions.,SEMANTIC_HYPOTHESIS_NOT_YET_TESTED,candidate_analysis_180.csv; keyword_frequency_summary.csv; candidate_comparability.csv; candidate_relationship.csv
3,climate,climate,1842,V1,1,FT-SEED-R1B-P-1842-15,climate,OBSERVED_CORPUS_PATTERN,"climate: first nonzero 1842, peak 2022 at 64.85 per million, 2022 64.85 per million",The 1842 dictionary match is PARTIAL; the generic series cannot identify modern climate-change meaning.,"How does climatological condition differ from later system, change and governance meanings?",14,Planning count; overlapping passages may answer multiple shortlist questions.,SEMANTIC_HYPOTHESIS_NOT_YET_TESTED,candidate_analysis_180.csv; keyword_frequency_summary.csv; candidate_comparability.csv; candidate_relationship.csv
4,climatic change,climate,1938,NOT_APPLICABLE_QUERY_LEVEL,0,QUERY_RULE_LEVEL_ONLY,climatic change,OBSERVED_CORPUS_PATTERN,"climatic change: first nonzero 1844, peak 1990 at 1.085 per million, 2022 0.3561 per million",This climate-specific query peaks earlier than the modern issue label but first-nonzero output may include non-target or OCR cases.,"When is the phrase used descriptively, causally or as a public issue label?",10,Planning count; overlapping passages may answer multiple shortlist questions.,SEMANTIC_HYPOTHESIS_NOT_YET_TESTED,candidate_analysis_180.csv; keyword_frequency_summary.csv; candidate_comparability.csv; candidate_relationship.csv
5,greenhouse effect,carbon_greenhouse,1988,V1,1,FT-SEED-R1B-P-1988-01,greenhouse effect,OBSERVED_CORPUS_PATTERN,"greenhouse effect: first nonzero 1843, peak 1990 at 1.961 per million, 2022 0.4531 per million","The raw series peaks in 1990 and declines thereafter; frequency alone does not identify scientific, institutional or media function.","How does the mechanism label travel among scientific explanation, institutional threat and media warning?",12,Planning count; overlapping passages may answer multiple shortlist questions.,SEMANTIC_HYPOTHESIS_NOT_YET_TESTED,candidate_analysis_180.csv; keyword_frequency_summary.csv; candidate_comparability.csv; candidate_relationship.csv
6,global warming,warming,1988; 2006–2007; 2022,V1; V3; V5,4,FT-SEED-R1B-P-1988-02; FT-SEED-R1B-P-1988-28; FT-SEED-R1B-P-0607-11; FT-SEED-R1B-P-2022-02,global warming,OBSERVED_CORPUS_PATTERN,"global warming: first nonzero 1843, peak 2009 at 5.446 per million, 2022 3.964 per million","The phrase recurs across 1988, 2006–2007 and 2022 candidates and shares one Ngram measurement across different voices.","Does the same issue label perform equivalent work in scientific, mediated and lay contexts?",14,Planning count; overlapping passages may answer multiple shortlist questions.,SEMANTIC_HYPOTHESIS_NOT_YET_TESTED,candidate_analysis_180.csv; keyword_frequency_summary.csv; candidate_comparability.csv; candidate_relationship.csv
7,climate change,climate,2006–2007; 2015; 2022,V2; V5,3,FT-SEED-R1B-P-0607-10; FT-SEED-R1B-P-2015-01; FT-SEED-R1B-P-2022-01,climate change,OBSERVED_CORPUS_PATTERN,"climate change: first nonzero 1842, peak 2022 at 28.9 per million, 2022 28.9 per million",The raw series peaks at the 2022 endpoint and the candidate form recurs under institutional and lay voices.,"Which passages use the phrase as causal description, governance object, threat referent or public concern?",14,Planning count; overlapping passages may answer multiple shortlist questions.,SEMANTIC_HYPOTHESIS_NOT_YET_TESTED,candidate_analysis_180.csv; keyword_frequency_summary.csv; candidate_comparability.csv; candidate_relationship.csv
8,common concern of humankind,concern_alarm,2015,V2,1,FT-SEED-R1B-P-2015-23,NOT_APPLICABLE,OBSERVED_CORPUS_PATTERN,"common concern of humankind: first nonzero 1901, peak 2021 at 0.04958 per million, 2022 0.03892 per million",The dictionary anchor-sense match is DIFFERENT because this is a legal formula rather than personal emotion.,What textual features keep legal common concern distinct from affective concern?,8,Planning count; overlapping passages may answer multiple shortlist questions.,SEMANTIC_HYPOTHESIS_NOT_YET_TESTED,candidate_analysis_180.csv; keyword_frequency_summary.csv; candidate_comparability.csv; candidate_relationship.csv
9,worry,worry,2006–2007; 2015; 2022,V3; V5,7,FT-SEED-R1B-P-0607-21; FT-SEED-R1B-P-0607-22; FT-SEED-R1B-P-0607-23; FT-SEED-R1B-P-2015-25; FT-SEED-R1B-P-2015-26; FT-SEED-R1B-P-2022-03; FT-SEED-R1B-P-2022-04,worry,OBSERVED_CORPUS_PATTERN,"worry: first nonzero 1842, peak 2020 at 61.97 per million, 2022 38.46 per million",The ledger separates a media imperative from elicited response wording even where the generic corpus string is identical or related.,"How should prescribed, instrument-supplied and participant-endorsed worry be distinguished in passages?",14,Planning count; overlapping passages may answer multiple shortlist questions.,SEMANTIC_HYPOTHESIS_NOT_YET_TESTED,candidate_analysis_180.csv; keyword_frequency_summary.csv; candidate_comparability.csv; candidate_relationship.csv
10,fear / afraid,fear_afraid,2022,V5,1,FT-SEED-R1B-P-2022-05,fear; afraid,OBSERVED_CORPUS_PATTERN,"fear: first nonzero 1842, peak 1850 at 104.2 per million, 2022 87.67 per million | afraid: first nonzero 1842, peak 2020 at 79.91 per million, 2022 42.34 per million","Generic fear is frequent across the corpus, but the Priority ledger contains direct afraid evidence only at the contemporary anchor.","Which occurrences are direct affect, quotation, rhetorical prescription or unrelated generic fear?",12,Planning count; overlapping passages may answer multiple shortlist questions.,SEMANTIC_HYPOTHESIS_NOT_YET_TESTED,candidate_analysis_180.csv; keyword_frequency_summary.csv; candidate_comparability.csv; candidate_relationship.csv
11,anxiety,anxiety,2022,V1; V5,3,FT-SEED-R1B-P-2022-06; FT-SEED-R1B-P-2022-15; FT-SEED-R1B-P-2022-25,anxiety,OBSERVED_CORPUS_PATTERN,"anxiety: first nonzero 1842, peak 2022 at 36.12 per million, 2022 36.12 per million","Generic anxiety peaks in 2022, while Priority evidence separates participant endorsement from researcher-labelled constructs.","Who supplies the anxiety label, and does the participant independently use it?",12,Planning count; overlapping passages may answer multiple shortlist questions.,SEMANTIC_HYPOTHESIS_NOT_YET_TESTED,candidate_analysis_180.csv; keyword_frequency_summary.csv; candidate_comparability.csv; candidate_relationship.csv
12,climate anxiety,anxiety,2022,V1,1,FT-SEED-R1B-P-2022-16,climate anxiety,OBSERVED_CORPUS_PATTERN,"climate anxiety: first nonzero 1972, peak 2022 at 0.03579 per million, 2022 0.03579 per million",The query has a sparse modern trajectory and a PARTIAL anchor-sense match because the candidate is a research construct.,"When is climate anxiety researcher-defined, instrument-supplied or participant self-description?",12,Planning count; overlapping passages may answer multiple shortlist questions.,SEMANTIC_HYPOTHESIS_NOT_YET_TESTED,candidate_analysis_180.csv; keyword_frequency_summary.csv; candidate_comparability.csv; candidate_relationship.csv
13,eco-anxiety,anxiety,2022,V1,1,FT-SEED-R1B-P-2022-17,eco-anxiety,OBSERVED_CORPUS_PATTERN,"eco-anxiety: first nonzero 1901, peak 2022 at 0.05496 per million, 2022 0.05496 per million",The compound is sparse in Ngram despite nonzero bounded-search discovery; early nonzero years need validation.,"Which attestations carry the recognised construct rather than OCR, hyphenation or unrelated component effects?",10,Planning count; overlapping passages may answer multiple shortlist questions.,SEMANTIC_HYPOTHESIS_NOT_YET_TESTED,candidate_analysis_180.csv; keyword_frequency_summary.csv; candidate_comparability.csv; candidate_relationship.csv
14,risk,risk,1988; 2006–2007; 2015,V2,4,FT-SEED-R1B-P-1988-23; FT-SEED-R1B-P-0607-14; FT-SEED-R1B-P-2015-07; FT-SEED-R1B-P-2015-17,risk,OBSERVED_CORPUS_PATTERN,"risk: first nonzero 1842, peak 2018 at 171.8 per million, 2022 160.6 per million","The high generic peak is not climate-specific, while candidate forms are predominantly institutional and governance-oriented.","How do probabilistic, governance and consequence senses vary by source and referent?",12,Planning count; overlapping passages may answer multiple shortlist questions.,SEMANTIC_HYPOTHESIS_NOT_YET_TESTED,candidate_analysis_180.csv; keyword_frequency_summary.csv; candidate_comparability.csv; candidate_relationship.csv
15,threat,danger_threat,1988; 2006–2007; 2022,V2; V5,5,FT-SEED-R1B-P-1988-19; FT-SEED-R1B-P-1988-21; FT-SEED-R1B-P-0607-12; FT-SEED-R1B-P-0607-26; FT-SEED-R1B-P-2022-28,threat,OBSERVED_CORPUS_PATTERN,"threat: first nonzero 1842, peak 2016 at 37.43 per million, 2022 33.07 per million",Threat candidates span institutional and elicited lay voices; threat must not be treated as emotion.,"When is threat an institutional classification, media warning or elicited public appraisal?",12,Planning count; overlapping passages may answer multiple shortlist questions.,SEMANTIC_HYPOTHESIS_NOT_YET_TESTED,candidate_analysis_180.csv; keyword_frequency_summary.csv; candidate_comparability.csv; candidate_relationship.csv
16,global security,danger_threat,1988,V2,1,FT-SEED-R1B-P-1988-16,global security,OBSERVED_CORPUS_PATTERN,"global security: first nonzero 1843, peak 2009 at 0.4396 per million, 2022 0.2638 per million",The 1988 candidate is an institutional security frame and its raw string trajectory cannot establish affect.,How does security framing connect to climatic risk without being recoded as fear?,8,Planning count; overlapping passages may answer multiple shortlist questions.,SEMANTIC_HYPOTHESIS_NOT_YET_TESTED,candidate_analysis_180.csv; keyword_frequency_summary.csv; candidate_comparability.csv; candidate_relationship.csv
17,crisis,crisis_emergency,1988,V2,1,FT-SEED-R1B-P-1988-24,crisis,OBSERVED_CORPUS_PATTERN,"crisis: first nonzero 1842, peak 2021 at 51.53 per million, 2022 48.09 per million",The generic crisis curve is background-ambiguous and the candidate ledger anchors an institutional severity predicate.,Which referent and speaker make crisis climate-specific rather than a general severity term?,10,Planning count; overlapping passages may answer multiple shortlist questions.,SEMANTIC_HYPOTHESIS_NOT_YET_TESTED,candidate_analysis_180.csv; keyword_frequency_summary.csv; candidate_comparability.csv; candidate_relationship.csv
18,climate crisis,crisis_emergency,2022,V4,1,FT-SEED-R1B-P-2022-30,climate crisis,OBSERVED_CORPUS_PATTERN,"climate crisis: first nonzero 1867, peak 2022 at 0.9388 per million, 2022 0.9388 per million","The raw series rises sharply at the contemporary endpoint, but early isolated nonzero observations are not validated target-sense emergence.","When does climate crisis function as advocacy label, media frame or participant vocabulary?",12,Planning count; overlapping passages may answer multiple shortlist questions.,SEMANTIC_HYPOTHESIS_NOT_YET_TESTED,candidate_analysis_180.csv; keyword_frequency_summary.csv; candidate_comparability.csv; candidate_relationship.csv
