figure_id,title,caption,metric_definition,interpretation_warning,source_csv,generation_script
figure_01_research_model,How temperature and climate become historically consequential,The analysis validates relations from A/B objects to D threat and C affect separately. Co-occurrence alone does not establish either relation.,Conceptual relation model,Threat language must never be used as a proxy for affect.,figures/fear-temperature/relational-v01/sources/figure_01_research_model_source.csv,scripts/fear-temperature/generate_relational_figures.py
figure_02_threat_link_rate_by_anchor,Threat-link rate by anchor,"No validated A/B object passages are currently populated. Blank rates are unsupported, not zero historical linkage.",Threat_Link_Count / AB_Object_Passage_Count,All six rates are not estimable because all six denominators are zero.,figures/fear-temperature/relational-v01/sources/figure_02_threat_link_rate_by_anchor_source.csv,scripts/fear-temperature/generate_relational_figures.py
figure_03_affect_link_rate_by_anchor,Affect-link rate by anchor,"No validated A/B object passages are currently populated. Blank rates are unsupported, not zero historical linkage.",Affect_Link_Count / AB_Object_Passage_Count,All six rates are not estimable because all six denominators are zero.,figures/fear-temperature/relational-v01/sources/figure_03_affect_link_rate_by_anchor_source.csv,scripts/fear-temperature/generate_relational_figures.py
figure_04_threat_vs_affect_by_anchor,Threat versus affect linkage by anchor,"A dumbbell comparison becomes estimable only after validated A/B passages exist. Missing markers are shown as N/A, not placed at 0%.",Paired Threat_Link_Rate and Affect_Link_Rate,No points are plotted at zero because zero is not the observed rate.,figures/fear-temperature/relational-v01/sources/figure_04_threat_vs_affect_by_anchor_source.csv,scripts/fear-temperature/generate_relational_figures.py
figure_05_threat_linkage_heatmap,Threat linkage by anchor and voice,"Every cell is low-N and unsupported because no validated A/B object passages are populated. The dash encodes missing estimands, not 0%.",Threat_Link_Rate by anchor × voice,Low-N flags do not convert unsupported cells into zero rates.,figures/fear-temperature/relational-v01/sources/figure_05_threat_linkage_heatmap_source.csv,scripts/fear-temperature/generate_relational_figures.py
figure_06_affect_linkage_heatmap,Affect linkage by anchor and voice,"Every cell is low-N and unsupported because no validated A/B object passages are populated. The dash encodes missing estimands, not 0%.",Affect_Link_Rate by anchor × voice,Low-N flags do not convert unsupported cells into zero rates.,figures/fear-temperature/relational-v01/sources/figure_06_affect_linkage_heatmap_source.csv,scripts/fear-temperature/generate_relational_figures.py
figure_07_climate_framing_lexicalisation_timeline,Climate framing lexicalisation,Markers separate raw sustained Ngram presence and peak publication-string frequency from the earliest candidate-level target-sense anchor.,Three temporal markers per term,Ngram markers are raw-string observations; target markers remain candidate-level until passage review.,figures/fear-temperature/relational-v01/sources/figure_07_climate_framing_lexicalisation_timeline_source.csv,scripts/fear-temperature/generate_relational_figures.py
figure_08_affect_lexicalisation_timeline,Affect lexicalisation,Markers separate raw sustained Ngram presence and peak publication-string frequency from the earliest candidate-level target-sense anchor.,Three temporal markers per term,Ngram markers are raw-string observations; target markers remain candidate-level until passage review.,figures/fear-temperature/relational-v01/sources/figure_08_affect_lexicalisation_timeline_source.csv,scripts/fear-temperature/generate_relational_figures.py
figure_09_threat_lexicalisation_timeline,Threat lexicalisation,Markers separate raw sustained Ngram presence and peak publication-string frequency from the earliest candidate-level target-sense anchor.,Three temporal markers per term,Ngram markers are raw-string observations; target markers remain candidate-level until passage review.,figures/fear-temperature/relational-v01/sources/figure_09_threat_lexicalisation_timeline_source.csv,scripts/fear-temperature/generate_relational_figures.py
figure_10_inventory_structure_flow,Structure of the constructed inventory,"Ribbon widths are counts among the 180 Priority Candidates. This figure describes the designed inventory, not historical prevalence or passage linkage.",Priority Candidate count by anchor × layer × voice,Inventory structure must not be interpreted as historical prevalence.,figures/fear-temperature/relational-v01/sources/figure_10_inventory_structure_flow_source.csv,scripts/fear-temperature/generate_relational_figures.py
figure_11_searchability_corpus_caution,Searchability differs across historical anchors,"Supported, zero-result, and unsupported are query/provider states. A zero metadata result is not evidence that the language was historically absent.",Candidate count by bounded-search result state,"Discoverability reflects digitisation, metadata, provider indexing, and query construction.",figures/fear-temperature/relational-v01/sources/figure_11_searchability_corpus_caution_source.csv,scripts/fear-temperature/generate_relational_figures.py
figure_12_ngram_vs_validated_sense,Raw string appearance and validated sense are different events,Four markers are kept separate. Candidate-level attestation and target-sense years remain provisional until source-linked passage validation.,Four temporal markers for 17 selected terms,Raw Ngram observations must not be narrated as first historical meaning.,figures/fear-temperature/relational-v01/sources/figure_12_ngram_vs_validated_sense_source.csv,scripts/fear-temperature/generate_relational_figures.py
