family_id,family_code,members_queried,query_rule_count,members_successful,members_sparse_or_zero,earliest_observable_member,representative_terms_by_peak_frequency,member_peak_years,anchor_period_notes,semantic_comparability_warning
FT-F09,anxiety,anxious | symptoms of anxiety | climate anxiety | eco-anxiety | anxiety,5,5,0,anxiety (1842),anxious | anxiety | symptoms of anxiety,anxious:1844 | symptoms of anxiety:2022 | climate anxiety:2022 | eco-anxiety:2022 | anxiety:2022,Compare member trajectories and anchor values individually; no family total is computed.,Semantic family is not a synonym set. Overlapping and differently scoped strings are never summed.
FT-F05,carbon_greenhouse,artificial production of carbon dioxide | carbon dioxide | fuel combustion | greenhouse effect | anthropogenic CO₂ | anthropogenic GHG emissions | greenhouse gas emissions,7,6,0,carbon dioxide (1842),carbon dioxide | greenhouse gas emissions | greenhouse effect,artificial production of carbon dioxide:1938 | carbon dioxide:1965 | fuel combustion:1978 | greenhouse effect:1990 | anthropogenic GHG emissions:2022 | greenhouse gas emissions:2009,Compare member trajectories and anchor values individually; no family total is computed.,Semantic family is not a synonym set. Overlapping and differently scoped strings are never summed.
FT-F04,climate,meteorological observations | meteorological journal | weather | climate | air | atmosphere | radiation absorption coefficients | water vapour | sky radiation | meteorological stations | instrumental measurements | global climate models | global observations | changing atmosphere | unequivocal | climate change | costs and risks of climate change | impacts of climate change | threat of climate change | pre-industrial levels | adverse effects of climate change | climatic change | climate system,25,25,0,air (1842),air | climate | weather,meteorological observations:1875 | meteorological journal:1842 | weather:1928 | climate:2022 | air:1944 | atmosphere:1965 | radiation absorption coefficients:1982 | water vapour:1960 | sky radiation:1964 | meteorological stations:1965 | instrumental measurements:1974 | global climate models:1994 | global observations:1984 | changing atmosphere:1989 | unequivocal:1844 | climate change:2022 | costs and risks of climate change:2009 | impacts of climate change:2022 | climate change:2022 | threat of climate change:2021 | pre-industrial levels:2022 | adverse effects of climate change:2021 | climate change:2022 | climatic change:1990 | climate system:2013,Compare member trajectories and anchor values individually; no family total is computed.,Semantic family is not a synonym set. Overlapping and differently scoped strings are never summed.
FT-F06,concern_alarm,rather a coincidence | hopeful | concern,3,3,0,concern (1842),concern | hopeful | rather a coincidence,rather a coincidence:1934 | hopeful:1862 | concern:1980,Compare member trajectories and anchor values individually; no family total is computed.,Semantic family is not a synonym set. Overlapping and differently scoped strings are never summed.
FT-F13,crisis_emergency,emergency preparedness | climate crisis | climate emergency | crisis | emergency,5,5,0,crisis (1842),emergency | crisis | emergency preparedness,emergency preparedness:1986 | climate crisis:2022 | climate emergency:2022 | crisis:2021 | emergency:1942,Compare member trajectories and anchor values individually; no family total is computed.,Semantic family is not a synonym set. Overlapping and differently scoped strings are never summed.
FT-F11,danger_threat,deadly glaciers | global security | major threat | serious global threat | danger | threat | grave threats,7,7,0,danger (1842),danger | threat | global security,deadly glaciers:1845 | global security:2009 | major threat:2021 | serious global threat:2022 | danger:1848 | threat:2016 | grave threats:2008,Compare member trajectories and anchor values individually; no family total is computed.,Semantic family is not a synonym set. Overlapping and differently scoped strings are never summed.
FT-F10,distress_depression,hopeless | sad | angry | frustrated | disgusted | outraged | depressed | psychological distress | distress | powerlessness | guilt,11,11,0,angry (1842),angry | distress | sad,hopeless:1848 | sad:1850 | angry:2020 | frustrated:2015 | disgusted:2020 | outraged:2014 | depressed:1843 | psychological distress:2022 | distress:1842 | powerlessness:2016 | guilt:1844,Compare member trajectories and anchor values individually; no family total is computed.,Semantic family is not a synonym set. Overlapping and differently scoped strings are never summed.
FT-F08,fear_afraid,afraid | fear,2,2,0,afraid (1842),fear | afraid,afraid:2020 | fear:1850,Compare member trajectories and anchor values individually; no family total is computed.,Semantic family is not a synonym set. Overlapping and differently scoped strings are never summed.
FT-F14,harm_loss_consequences,cause-and-effect relationship | drought | extreme events | changed climatic extremes | harmful consequences | rising global average sea level | widespread melting of snow and ice | urgent global response | damage | hunger | water shortages | coastal flooding | worst impacts | adverse impacts | climate resilience | vulnerability | vulnerable groups | loss and damage | extreme weather events | slow onset events | early warning systems | irreversible and permanent loss and damage | mortality,23,22,1,damage (1842),damage | mortality | drought,cause-and-effect relationship:2011 | drought:1934 | extreme events:2022 | harmful consequences:2022 | rising global average sea level:2008 | widespread melting of snow and ice:2008 | urgent global response:2007 | damage:1986 | hunger:2015 | water shortages:2009 | coastal flooding:2022 | worst impacts:2022 | adverse impacts:2008 | climate resilience:2022 | vulnerability:2021 | vulnerable groups:2022 | loss and damage:1947 | extreme weather events:2022 | slow onset events:2021 | early warning systems:2022 | irreversible and permanent loss and damage:2021 | mortality:1987,Compare member trajectories and anchor values individually; no family total is computed.,Semantic family is not a synonym set. Overlapping and differently scoped strings are never summed.
FT-F02,heat,sun's heat | radiation of the heat | excessive heat | heat of the men | Hottest Day for Ten Years | Heat Wave Over Queensland | regional heat waves | heat wave | heat wave/drought occurrences | heat | extreme heat | heat of the irons,13,9,0,excessive heat (1842),heat | excessive heat | extreme heat,radiation of the heat:1850 | excessive heat:1842 | heat of the men:1864 | regional heat waves:1990 | heat wave:2020 | heat:1962 | extreme heat:1846 | heat of the irons:1843 | heat wave:2020,Compare member trajectories and anchor values individually; no family total is computed.,Semantic family is not a synonym set. Overlapping and differently scoped strings are never summed.
