Candidate ID,Anchor,Rank,Surface Form,Normalised Concept,Lexical Family,Layer,Voice,Expression Mode,Evidence Source,Candidate Provenance,Ngram Status,Measurement Form,Mapping Type,First Non-Zero Year,Peak Year,Peak Frequency,Anchor Frequency,Context Window Mean,2022 Frequency,Ngram Note,Dictionary Status,Dictionary Source,Historical Sense,Modern Sense,Anchor Sense Match,Polysemy / Ambiguity,Dictionary Note,Search Source,Search Query,Search Exactness,Search Status,Result Count,Date-Window Count,Retrieval Date,Search Note,Coverage Status,Remaining Annotation Gap,Review Priority
FT-SEED-R1B-P-1842-01,1842,1,temperature,local / instrumental temperature,temperature_threshold,A,V1,NOT_EXPOSED_IN_REPORT,S1842-RS-COLABA,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-01; original visible ID not available",SUCCEEDED_REUSED_BASELINE,temperature,EXACT,1842,1962,0.00018277823122134218,3.8178546390099655e-05,3.5562592416230054e-05,9.003187850510977e-05,Candidate surface form is directly representable in the public Ngram interface. Complete 1842–2022 unsmoothed series reused from the audited quantitative-v0.1 baseline.,DIRECT_HEADWORD,DictionaryAPI.dev English entry (Wiktionary-derived open lexical data),"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,Secondary: DictionaryAPI.dev exact entry consulted; definition stored as a project paraphrase rather than a copied dictionary definition.; historical: Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable; source: https://api.dictionaryapi.dev/api/v2/entries/en/temperature; https://websters1913.timcieplowski.com/word/temperature/,INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""temperature"" AND mediatype:texts",EXACT_PHRASE,COMPLETED_NONZERO,193717,60,2026-08-26,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.,FULLY_COVERED,PENDING_SOURCE_REVIEW,MEDIUM
FT-SEED-R1B-P-1842-02,1842,2,mean temperature,mean temperature,temperature_threshold,A,V1,NOT_EXPOSED_IN_REPORT,S1842-ROSS,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-02; original visible ID not available",SUCCEEDED_REUSED_BASELINE,mean temperature,EXACT,1842,1858,3.219442511692705e-06,2.3651722909079353e-06,2.3625686028094783e-06,3.990877988080399e-07,Candidate surface form is directly representable in the public Ngram interface. Complete 1842–2022 unsmoothed series reused from the audited quantitative-v0.1 baseline.,NO_STANDALONE_HEADWORD,Component lexical analysis plus anchor-source contextual meaning,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A temporally or spatially averaged temperature value; the candidate is interpreted in its documented anchor and voice context.,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Secondary: Component headword checked: temperature.; historical: Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable; source: Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=8; https://api.dictionaryapi.dev/api/v2/entries/en/mean%20temperature; https://websters1913.timcieplowski.com/word/temperature/",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""mean temperature"" AND mediatype:texts",EXACT_PHRASE,COMPLETED_NONZERO,664,4,2026-08-26,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.,FULLY_COVERED,PENDING_SOURCE_REVIEW,MEDIUM
FT-SEED-R1B-P-1842-03,1842,3,temperature of the air in shade,local / instrumental temperature,temperature_threshold,A,V1,NOT_EXPOSED_IN_REPORT,S1842-ROSS,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-03; original visible ID not available",SUCCEEDED_REUSED_BASELINE,temperature of the air in shade,EXACT,1846,1858,1.4379699209143837e-08,0.0,0.0,5.8122076596056615e-11,Candidate surface form is directly representable in the public Ngram interface. Complete 1842–2022 unsmoothed series reused from the audited quantitative-v0.1 baseline.,NO_STANDALONE_HEADWORD,Component lexical analysis plus anchor-source contextual meaning,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Secondary: Component headword checked: shade.; historical: Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable; source: Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=6; https://api.dictionaryapi.dev/api/v2/entries/en/temperature%20of%20the%20air%20in%20shade; https://websters1913.timcieplowski.com/word/shade/",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""temperature of the air in shade"" AND mediatype:texts",EXACT_PHRASE,COMPLETED_ZERO,0,0,2026-08-26,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.,FULLY_COVERED,PENDING_SOURCE_REVIEW,MEDIUM
FT-SEED-R1B-P-1842-04,1842,4,maximum temperature,local / instrumental temperature,temperature_threshold,A,V1,NOT_EXPOSED_IN_REPORT,S1842-ROSS,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-04; original visible ID not available",SUCCEEDED_REUSED_BASELINE,maximum temperature,EXACT,1842,1958,1.0416047427352915e-06,3.8828298315474186e-07,1.566754800064185e-07,4.5735168766047885e-07,Candidate surface form is directly representable in the public Ngram interface. Complete 1842–2022 unsmoothed series reused from the audited quantitative-v0.1 baseline.,NO_STANDALONE_HEADWORD,Component lexical analysis plus anchor-source contextual meaning,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Secondary: Component headword checked: temperature.; historical: Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable; source: Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=6; https://api.dictionaryapi.dev/api/v2/entries/en/maximum%20temperature; https://websters1913.timcieplowski.com/word/temperature/",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""maximum temperature"" AND mediatype:texts",EXACT_PHRASE,COMPLETED_NONZERO,1464,0,2026-08-26,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.,FULLY_COVERED,PENDING_SOURCE_REVIEW,MEDIUM
FT-SEED-R1B-P-1842-05,1842,5,minimum temperature,local / instrumental temperature,temperature_threshold,A,V1,NOT_EXPOSED_IN_REPORT,S1842-ROSS,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-05; original visible ID not available",SUCCEEDED_REUSED_BASELINE,minimum temperature,EXACT,1842,1985,5.244083450678394e-07,2.3348578032100775e-07,1.0500049639483588e-07,2.2186291173675876e-07,Candidate surface form is directly representable in the public Ngram interface. Complete 1842–2022 unsmoothed series reused from the audited quantitative-v0.1 baseline.,NO_STANDALONE_HEADWORD,Component lexical analysis plus anchor-source contextual meaning,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Secondary: Component headword checked: temperature.; historical: Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable; source: Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=6; https://api.dictionaryapi.dev/api/v2/entries/en/minimum%20temperature; https://websters1913.timcieplowski.com/word/temperature/",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""minimum temperature"" AND mediatype:texts",EXACT_PHRASE,COMPLETED_NONZERO,460,0,2026-08-26,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.,FULLY_COVERED,PENDING_SOURCE_REVIEW,MEDIUM
FT-SEED-R1B-P-1842-06,1842,6,mean temperature of sea at surface,mean temperature,temperature_threshold,A,V1,NOT_EXPOSED_IN_REPORT,S1842-ROSS,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-06; original visible ID not available",ZERO_RESPONSE_REUSED_BASELINE,mean temperature of sea at surface,EXACT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,"Candidate surface form is directly representable in the public Ngram interface. The audited executable rule returned an empty Ngram payload; retained as source/query zero-response evidence, not historical absence.",NO_STANDALONE_HEADWORD,Component lexical analysis plus anchor-source contextual meaning,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A temporally or spatially averaged temperature value; the candidate is interpreted in its documented anchor and voice context.,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Secondary: Component headword checked: surface.; historical: Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable; source: Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=6; https://api.dictionaryapi.dev/api/v2/entries/en/mean%20temperature%20of%20sea%20at%20surface; https://websters1913.timcieplowski.com/word/surface/",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""mean temperature of sea at surface"" AND mediatype:texts",EXACT_PHRASE,COMPLETED_ZERO,0,0,2026-08-26,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.,FULLY_COVERED,PENDING_SOURCE_REVIEW,MEDIUM
FT-SEED-R1B-P-1842-07,1842,7,dew point,local / instrumental temperature,temperature_threshold,A,V1,NOT_EXPOSED_IN_REPORT,S1842-LEICHHARDT-N,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-07; original visible ID not available",SUCCEEDED_REUSED_BASELINE,dew point,EXACT,1842,1844,1.2860426563676697e-06,5.02445909766891e-07,6.271446773009615e-07,2.2973760255284859e-07,Candidate surface form is directly representable in the public Ngram interface. Complete 1842–2022 unsmoothed series reused from the audited quantitative-v0.1 baseline.,NO_STANDALONE_HEADWORD,Component lexical analysis plus anchor-source contextual meaning,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Secondary: Component headword checked: point.; historical: Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable; source: Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=6; https://api.dictionaryapi.dev/api/v2/entries/en/dew%20point; https://websters1913.timcieplowski.com/word/point/",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""dew point"" AND mediatype:texts",EXACT_PHRASE,COMPLETED_NONZERO,1217,2,2026-08-26,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.,FULLY_COVERED,PENDING_SOURCE_REVIEW,MEDIUM
FT-SEED-R1B-P-1842-08,1842,8,standard thermometer,local / instrumental temperature,temperature_threshold,A,V1,NOT_EXPOSED_IN_REPORT,S1842-RS-COLABA,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-08; original visible ID not available",SUCCEEDED_REUSED_BASELINE,standard thermometer,EXACT,1842,1875,2.0496997077401602e-07,8.384848482201335e-09,2.3637724833047713e-08,2.6101517891508053e-09,Candidate surface form is directly representable in the public Ngram interface. Complete 1842–2022 unsmoothed series reused from the audited quantitative-v0.1 baseline.,NO_STANDALONE_HEADWORD,Component lexical analysis plus anchor-source contextual meaning,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Secondary: Component headword checked: thermometer.; historical: Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable; source: Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=7; https://api.dictionaryapi.dev/api/v2/entries/en/standard%20thermometer; https://websters1913.timcieplowski.com/word/thermometer/",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""standard thermometer"" AND mediatype:texts",EXACT_PHRASE,COMPLETED_NONZERO,2,0,2026-08-26,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.,FULLY_COVERED,PENDING_SOURCE_REVIEW,MEDIUM
FT-SEED-R1B-P-1842-09,1842,9,attached thermometer,local / instrumental temperature,temperature_threshold,A,V1,NOT_EXPOSED_IN_REPORT,S1842-RS-COLABA,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-09; original visible ID not available",SUCCEEDED_REUSED_BASELINE,attached thermometer,EXACT,1842,1844,2.3284261124745242e-07,6.901375293466572e-08,1.3605652200709972e-07,3.406469412103874e-09,Candidate surface form is directly representable in the public Ngram interface. Complete 1842–2022 unsmoothed series reused from the audited quantitative-v0.1 baseline.,NO_STANDALONE_HEADWORD,Component lexical analysis plus anchor-source contextual meaning,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Secondary: Component headword checked: thermometer.; historical: Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable; source: Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=7; https://api.dictionaryapi.dev/api/v2/entries/en/attached%20thermometer; https://websters1913.timcieplowski.com/word/thermometer/",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""attached thermometer"" AND mediatype:texts",EXACT_PHRASE,COMPLETED_ZERO,0,0,2026-08-26,Metadata text-item count; not a full-text lexical frequency. Secondary metric: Scholarly work discoverability count over OpenAlex search fields; not a corpus word frequency.,FULLY_COVERED,PENDING_SOURCE_REVIEW,MEDIUM
FT-SEED-R1B-P-1842-10,1842,10,dry bulb thermometer,local / instrumental temperature,temperature_threshold,A,V1,NOT_EXPOSED_IN_REPORT,S1842-RS-COLABA,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-10; original visible ID not available",SUCCEEDED_REUSED_BASELINE,dry bulb thermometer,EXACT,1842,1869,2.647877378469943e-07,8.854272692815357e-08,4.692082165858036e-08,8.466447189159343e-09,Candidate surface form is directly representable in the public Ngram interface. Complete 1842–2022 unsmoothed series reused from the audited quantitative-v0.1 baseline.,NO_STANDALONE_HEADWORD,Component lexical analysis plus anchor-source contextual meaning,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Secondary: Component headword checked: thermometer.; historical: Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable; source: Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=7; https://api.dictionaryapi.dev/api/v2/entries/en/dry%20bulb%20thermometer; https://websters1913.timcieplowski.com/word/thermometer/",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""dry bulb thermometer"" AND mediatype:texts",EXACT_PHRASE,COMPLETED_NONZERO,2,0,2026-08-26,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.,FULLY_COVERED,PENDING_SOURCE_REVIEW,MEDIUM
