candidate_id,anchor,priority_rank,surface_form,normalized_concept,lexical_family,layer,primary_voice,expression_mode,candidate_provenance,search_primary_source,search_query,search_query_type,search_status,search_total_results,search_unique_results_if_available,search_strict_window_results,search_contextual_window_results,search_retrieval_date,search_api_or_interface,search_exactness,search_secondary_source,search_secondary_total_results,search_notes
FT-SEED-R1B-P-1842-01,1842,1,temperature,local / instrumental temperature,temperature_threshold,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-01; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""temperature"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,193717,193717,6,60,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1842-02,1842,2,mean temperature,mean temperature,temperature_threshold,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-02; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""mean temperature"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,664,664,0,4,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1842-03,1842,3,temperature of the air in shade,local / instrumental temperature,temperature_threshold,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-03; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""temperature of the air in shade"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_ZERO,0,0,0,0,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1842-04,1842,4,maximum temperature,local / instrumental temperature,temperature_threshold,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-04; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""maximum temperature"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,1464,1464,0,0,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1842-05,1842,5,minimum temperature,local / instrumental temperature,temperature_threshold,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-05; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""minimum temperature"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,460,460,0,0,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1842-06,1842,6,mean temperature of sea at surface,mean temperature,temperature_threshold,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-06; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""mean temperature of sea at surface"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_ZERO,0,0,0,0,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1842-07,1842,7,dew point,local / instrumental temperature,temperature_threshold,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-07; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""dew point"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,1217,1217,0,2,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1842-08,1842,8,standard thermometer,local / instrumental temperature,temperature_threshold,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-08; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""standard thermometer"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,2,2,0,0,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1842-09,1842,9,attached thermometer,local / instrumental temperature,temperature_threshold,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-09; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""attached thermometer"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_ZERO,0,0,0,0,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,96,Metadata text-item count; not a full-text lexical frequency. Secondary metric: Scholarly work discoverability count over OpenAlex search fields; not a corpus word frequency.
FT-SEED-R1B-P-1842-10,1842,10,dry bulb thermometer,local / instrumental temperature,temperature_threshold,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-10; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""dry bulb thermometer"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,2,2,0,0,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
