Candidate ID,Anchor,Rank,Surface Form,Normalised Concept,Lexical Family,Dictionary Status,Direct Headword Exists,Primary Source,Secondary Source,Historical / Domain Source,Concise Definition Paraphrase,Historically Relevant Sense,Modern Sense,Anchor Sense Match,First Attestation,Polysemy Warning,Source Citation / Link,Access Date,Candidate Provenance
FT-SEED-R1B-P-1842-01,1842,1,temperature,local / instrumental temperature,temperature_threshold,DIRECT_HEADWORD,YES,DictionaryAPI.dev English entry (Wiktionary-derived open lexical data),DictionaryAPI.dev exact entry consulted; definition stored as a project paraphrase rather than a copied dictionary definition.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,https://api.dictionaryapi.dev/api/v2/entries/en/temperature; https://websters1913.timcieplowski.com/word/temperature/,2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-01; original visible ID not available"
FT-SEED-R1B-P-1842-02,1842,2,mean temperature,mean temperature,temperature_threshold,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: temperature.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A temporally or spatially averaged temperature value; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A temporally or spatially averaged temperature value; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=8; https://api.dictionaryapi.dev/api/v2/entries/en/mean%20temperature; https://websters1913.timcieplowski.com/word/temperature/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-02; original visible ID not available"
FT-SEED-R1B-P-1842-03,1842,3,temperature of the air in shade,local / instrumental temperature,temperature_threshold,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: shade.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=6; https://api.dictionaryapi.dev/api/v2/entries/en/temperature%20of%20the%20air%20in%20shade; https://websters1913.timcieplowski.com/word/shade/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-03; original visible ID not available"
FT-SEED-R1B-P-1842-04,1842,4,maximum temperature,local / instrumental temperature,temperature_threshold,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: temperature.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=6; https://api.dictionaryapi.dev/api/v2/entries/en/maximum%20temperature; https://websters1913.timcieplowski.com/word/temperature/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-04; original visible ID not available"
FT-SEED-R1B-P-1842-05,1842,5,minimum temperature,local / instrumental temperature,temperature_threshold,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: temperature.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=6; https://api.dictionaryapi.dev/api/v2/entries/en/minimum%20temperature; https://websters1913.timcieplowski.com/word/temperature/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-05; original visible ID not available"
FT-SEED-R1B-P-1842-06,1842,6,mean temperature of sea at surface,mean temperature,temperature_threshold,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: surface.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A temporally or spatially averaged temperature value; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A temporally or spatially averaged temperature value; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=6; https://api.dictionaryapi.dev/api/v2/entries/en/mean%20temperature%20of%20sea%20at%20surface; https://websters1913.timcieplowski.com/word/surface/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-06; original visible ID not available"
FT-SEED-R1B-P-1842-07,1842,7,dew point,local / instrumental temperature,temperature_threshold,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: point.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=6; https://api.dictionaryapi.dev/api/v2/entries/en/dew%20point; https://websters1913.timcieplowski.com/word/point/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-07; original visible ID not available"
FT-SEED-R1B-P-1842-08,1842,8,standard thermometer,local / instrumental temperature,temperature_threshold,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: thermometer.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=7; https://api.dictionaryapi.dev/api/v2/entries/en/standard%20thermometer; https://websters1913.timcieplowski.com/word/thermometer/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-08; original visible ID not available"
FT-SEED-R1B-P-1842-09,1842,9,attached thermometer,local / instrumental temperature,temperature_threshold,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: thermometer.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=7; https://api.dictionaryapi.dev/api/v2/entries/en/attached%20thermometer; https://websters1913.timcieplowski.com/word/thermometer/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-09; original visible ID not available"
FT-SEED-R1B-P-1842-10,1842,10,dry bulb thermometer,local / instrumental temperature,temperature_threshold,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: thermometer.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=7; https://api.dictionaryapi.dev/api/v2/entries/en/dry%20bulb%20thermometer; https://websters1913.timcieplowski.com/word/thermometer/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-10; original visible ID not available"
