dictionary_form_id,normalized_form,representative_surface_form,candidate_ids,candidate_count,dictionary_status,dictionary_primary_source,dictionary_secondary_source,dictionary_historical_source,dictionary_definition_paraphrase,dictionary_historical_sense,dictionary_first_attestation_if_available,dictionary_anchor_sense_match,dictionary_polysemy_note,dictionary_source_url_or_id,dictionary_access_date,dictionaryapi_http_status,dictionaryapi_raw_response_path,dictionaryapi_raw_sha256,webster1913_component_headword,webster1913_http_status,webster1913_raw_response_path,webster1913_raw_sha256,dictionary_provenance_note
FT-DICT-CC5EECC016B1C1,1.5°c above pre-industrial levels,1.5°C above pre-industrial levels,FT-SEED-R1B-P-2015-05,1,TECHNICAL_GLOSSARY,IPCC climate-science glossary / assessment terminology,Component headword checked: levels.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A governed one-and-a-half-degree temperature limit or threshold; the candidate is interpreted in its documented anchor and voice context.,A treaty governance threshold relating global average temperature increase to a pre-industrial reference level.,NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,"The numeric threshold is a policy-governance object, not experienced local temperature.",https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-AnnexII_FINAL.pdf; https://api.dictionaryapi.dev/api/v2/entries/en/1.5%C2%B0C%20above%20pre-industrial%20levels; https://websters1913.timcieplowski.com/word/levels/,2026-08-26,0,data/fear-temperature/priority180/dictionary/raw/dictionaryapi/58541708e8becaf7c45fd532ceca2cc41d0482e5e596806531984738e5db0c43.json,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,levels,404,data/fear-temperature/priority180/dictionary/raw/webster1913/cd46729724767c071e8267605813a93958c86edaa92d1bf1131f0b925e9f46ed.json,b620507312c5e97566a3c6cfaf99144fefc18a0da7d941401dfa0f5f58fb0368,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-10D42AA18F6B20,40-degree temperatures,40-degree temperatures,FT-SEED-R1B-P-1938-22,1,NO_STANDALONE_HEADWORD,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: temperatures.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=7; https://api.dictionaryapi.dev/api/v2/entries/en/40-degree%20temperatures; https://websters1913.timcieplowski.com/word/temperatures/",2026-08-26,0,,,temperatures,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-43E421D85164A7,actually increased,actually increased,FT-SEED-R1B-P-1938-14,1,NO_STANDALONE_HEADWORD,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: increased.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"An observed, estimated, or projected increase in temperature; the candidate is interpreted in its documented anchor and voice context.","A physical temperature, warming, heat, or measurement sense in the documented anchor context.",NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=8; https://api.dictionaryapi.dev/api/v2/entries/en/actually%20increased; https://websters1913.timcieplowski.com/word/increased/",2026-08-26,0,,,increased,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-4A17A2435FFF3B,adverse effects of climate change,adverse effects of climate change,FT-SEED-R1B-P-2015-09,1,NO_STANDALONE_HEADWORD,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: change.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Modern climate change as an anthropogenic scientific, public, or governance problem; the candidate is interpreted in its documented anchor and voice context.","A threat, risk, harm, severity, or consequence sense in the documented source; it is not automatically an emotion.",NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=11; https://api.dictionaryapi.dev/api/v2/entries/en/adverse%20effects%20of%20climate%20change; https://websters1913.timcieplowski.com/word/change/",2026-08-26,0,,,change,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-9BBD897785E2C2,adverse impacts,adverse impacts,FT-SEED-R1B-P-2015-08,1,NO_STANDALONE_HEADWORD,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: impacts.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Generic material, ecological, or social damage; the candidate is interpreted in its documented anchor and voice context.","A threat, risk, harm, severity, or consequence sense in the documented source; it is not automatically an emotion.",NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=11; https://api.dictionaryapi.dev/api/v2/entries/en/adverse%20impacts; https://websters1913.timcieplowski.com/word/impacts/",2026-08-26,0,,,impacts,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-180366DD3B2CC1,afraid,afraid,FT-SEED-R1B-P-2022-05,1,DIRECT_HEADWORD,Webster's Revised Unabridged Dictionary (1913 public-domain headword index),Component headword checked: afraid.,Webster's Revised Unabridged Dictionary (1913 public-domain edition),Participant endorsement of a supplied afraid category; the candidate is interpreted in its documented anchor and voice context.,The candidate's affective or evaluative sense as used by the documented speaker/instrument/research voice at the anchor.,NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,https://websters1913.timcieplowski.com/word/afraid/; https://api.dictionaryapi.dev/api/v2/entries/en/afraid,2026-08-26,0,data/fear-temperature/priority180/dictionary/raw/dictionaryapi/687e52a1cc714c35c995cb58fc4d7e6ef8cc051173fe818dbcb9efec06c01f12.json,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,afraid,200,data/fear-temperature/priority180/dictionary/raw/webster1913/d9007127d07701f3d7b74a5973676be2f92a42ee78e426522cf01feeb9c4409e.json,fd24f4020345807dac19f89e678d07a7e6cbc1f075d0397c88a1f2d2d8548133,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-9FE430E5274621,air,air,FT-SEED-R1B-P-1938-04,1,DIRECT_HEADWORD,Webster's Revised Unabridged Dictionary (1913 public-domain headword index),Component headword checked: air.,Webster's Revised Unabridged Dictionary (1913 public-domain edition),"Climate as a historical, geographical, seasonal, or climatological condition; the candidate is interpreted in its documented anchor and voice context.","A climatic, atmospheric, meteorological, or causal-science sense in the documented anchor context.",NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,https://websters1913.timcieplowski.com/word/air/; https://api.dictionaryapi.dev/api/v2/entries/en/air,2026-08-26,0,data/fear-temperature/priority180/dictionary/raw/dictionaryapi/c9943efe99e9c8e3f659781f2b6218858ed3d085ddb9b9a6c112d694f0decb91.json,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,air,200,data/fear-temperature/priority180/dictionary/raw/webster1913/6a4e26e580ea29285b3d05e8590921a52710b0a36e84dda942ddafc2e0a35040.json,5686bb37c09bdc685f4a2328f68cbbf958c35185e5576415b068505edee43fef,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-FA018EBCB86B9D,alarm to the public,alarm to the public,FT-SEED-R1B-P-1842-30,1,NO_STANDALONE_HEADWORD,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: public.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Alarm attributed to or anticipated for a public, requiring direct evidence and sense review; the candidate is interpreted in its documented anchor and voice context.",The candidate's affective or evaluative sense as used by the documented speaker/instrument/research voice at the anchor.,NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=7; https://api.dictionaryapi.dev/api/v2/entries/en/alarm%20to%20the%20public; https://websters1913.timcieplowski.com/word/public/",2026-08-26,0,,,public,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-0A96F1960786D8,angry,angry,FT-SEED-R1B-P-2022-09,1,DIRECT_HEADWORD,Webster's Revised Unabridged Dictionary (1913 public-domain headword index),Component headword checked: angry.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,Depressed affect directly expressed or instrument-endorsed in a climate context; the candidate is interpreted in its documented anchor and voice context.,The candidate's affective or evaluative sense as used by the documented speaker/instrument/research voice at the anchor.,NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,https://websters1913.timcieplowski.com/word/angry/; https://api.dictionaryapi.dev/api/v2/entries/en/angry,2026-08-26,0,data/fear-temperature/priority180/dictionary/raw/dictionaryapi/0f6cd0cb36b924f83fb5a8679c2449ba55af7e50163459ad88f4e330deb5b95c.json,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,angry,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-7892B446EBBC56,anthropogenic co2,anthropogenic CO₂,FT-SEED-R1B-P-0607-08,1,TECHNICAL_GLOSSARY,IPCC climate-science glossary / assessment terminology,Component headword checked: co.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,Human production of carbon dioxide as a climatic cause; the candidate is interpreted in its documented anchor and voice context.,"A climatic, atmospheric, meteorological, or causal-science sense in the documented anchor context.",NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-AnnexII_FINAL.pdf; https://api.dictionaryapi.dev/api/v2/entries/en/anthropogenic%20CO%E2%82%82; https://websters1913.timcieplowski.com/word/co/,2026-08-26,0,,,co,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
