query_id,anchor,surface_form,classification,compatibility_status,execution_eligible,reason,interpretation_class,source_report,source_page,provenance_status
FT-Q-V01-001,1842,temperature,BACKGROUND_AMBIGUOUS,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,BACKGROUND_AMBIGUOUS,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-002,1842,mean temperature,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-003,1842,temperature of the air in shade,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-004,1842,maximum temperature,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-005,1842,minimum temperature,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-006,1842,mean temperature of sea at surface,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-007,1842,dew point,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-008,1842,standard thermometer,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-009,1842,attached thermometer,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-010,1842,dry bulb thermometer,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-011,1842,wet bulb thermometer,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-012,1842,meteorological observations,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
