concept_id,family_id,concept_code,preferred_label,definition,provisional_status,provenance_note
FT-C-LOCAL_INSTRUMENTAL_TEMPERATURE,FT-F01,local_instrumental_temperature,local / instrumental temperature,A local or instrument-specific temperature reading.,PROVISIONAL_QUERYABLE,Boundary explicitly retained by the latest semantic-validation report; provisional pending structured-seed reconciliation.
FT-C-MEAN_TEMPERATURE,FT-F01,mean_temperature,mean temperature,A temporally or spatially averaged temperature value.,PROVISIONAL_QUERYABLE,Boundary explicitly retained by the latest semantic-validation report; provisional pending structured-seed reconciliation.
FT-C-GLOBAL_AGGREGATE_TEMPERATURE,FT-F01,global_aggregate_temperature,global aggregate temperature,A global-scale aggregate temperature metric.,PROVISIONAL_QUERYABLE,Boundary explicitly retained by the latest semantic-validation report; provisional pending structured-seed reconciliation.
FT-C-TEMPERATURE_THRESHOLD_2C,FT-F01,temperature_threshold_2c,2°C threshold,A governed two-degree temperature limit or threshold.,PROVISIONAL_QUERYABLE,Boundary explicitly retained by the latest semantic-validation report; provisional pending structured-seed reconciliation.
FT-C-TEMPERATURE_THRESHOLD_1_5C,FT-F01,temperature_threshold_1_5c,1.5°C threshold,A governed one-and-a-half-degree temperature limit or threshold.,PROVISIONAL_QUERYABLE,Boundary explicitly retained by the latest semantic-validation report; provisional pending structured-seed reconciliation.
FT-C-PHYSICAL_HEAT_STATE,FT-F02,physical_heat_state,physical heat source / state,"Heat as a physical source, state, or thermal condition.",PROVISIONAL_QUERYABLE,Boundary explicitly retained by the latest semantic-validation report; provisional pending structured-seed reconciliation.
FT-C-EMBODIED_HEAT_EXPOSURE,FT-F02,embodied_heat_exposure,embodied heat exposure,"Heat experienced by bodies in occupational, domestic, or environmental settings.",PROVISIONAL_QUERYABLE,Boundary explicitly retained by the latest semantic-validation report; provisional pending structured-seed reconciliation.
FT-C-HEATWAVE_WEATHER_EVENT,FT-F02,heatwave_weather_event,heatwave / weather event,A bounded hot-weather or heatwave event.,PROVISIONAL_QUERYABLE,Boundary explicitly retained by the latest semantic-validation report; provisional pending structured-seed reconciliation.
FT-C-EXTREME_HEAT_HAZARD,FT-F02,extreme_heat_hazard,extreme-heat hazard,Extreme heat framed as a hazard with health or social consequences.,PROVISIONAL_QUERYABLE,Boundary explicitly retained by the latest semantic-validation report; provisional pending structured-seed reconciliation.
FT-C-TEMPERATURE_INCREASE,FT-F03,temperature_increase,temperature increase,"An observed, estimated, or projected increase in temperature.",PROVISIONAL_QUERYABLE,Boundary explicitly retained by the latest semantic-validation report; provisional pending structured-seed reconciliation.
FT-C-CLIMATE_SYSTEM_WARMING,FT-F03,climate_system_warming,climate-system warming,Warming attributed to or observed across the climate system.,PROVISIONAL_QUERYABLE,Boundary explicitly retained by the latest semantic-validation report; provisional pending structured-seed reconciliation.
FT-C-GLOBAL_WARMING_ISSUE_LABEL,FT-F03,global_warming_issue_label,global warming as issue label,"Global warming used as an established public, scientific, or policy issue label.",PROVISIONAL_QUERYABLE,Boundary explicitly retained by the latest semantic-validation report; provisional pending structured-seed reconciliation.
FT-C-HISTORICAL_CLIMATE_CONDITION,FT-F04,historical_climate_condition,historical climate / climatological condition,"Climate as a historical, geographical, seasonal, or climatological condition.",PROVISIONAL_QUERYABLE,Boundary explicitly retained by the latest semantic-validation report; provisional pending structured-seed reconciliation.
FT-C-HISTORICAL_CLIMATIC_CHANGE,FT-F04,historical_climatic_change,historical climatic change,Historically attested climatic change or change-of-climate formulation.,PROVISIONAL_QUERYABLE,Boundary explicitly retained by the latest semantic-validation report; provisional pending structured-seed reconciliation.
FT-C-MODERN_CLIMATE_CHANGE,FT-F04,modern_climate_change,modern climate change,"Modern climate change as an anthropogenic scientific, public, or governance problem.",PROVISIONAL_QUERYABLE,Boundary explicitly retained by the latest semantic-validation report; provisional pending structured-seed reconciliation.
